area_m2,land_m2,year_built,price
62,327,1991,137161
209,315,2010,371516
120,795,1991,268978
236,114,2005,345946
135,256,1985,197944
77,747,2017,244483
115,360,1956,172137
219,256,2003,348258
94,146,1950,55614
111,423,1993,234058
234,784,1994,455345
183,229,1996,296084
77,510,1962,195981
77,194,1971,81912
157,726,1970,275094
93,391,1958,144979
133,382,1975,247919
79,168,1958,124266
239,759,1964,424709
124,110,1959,151933
177,353,1991,292793
141,649,2021,335181
239,233,1973,405986
178,122,1998,234340
170,445,1975,299074
76,401,1986,164553
239,462,2017,464615
170,495,1999,329959
165,317,1973,265061
52,240,1968,61167
152,715,2009,360382
247,309,1988,388436
249,722,2023,528331
204,715,1967,383607
186,782,1968,385942
111,559,1985,237714
214,455,2023,432521
100,423,2004,212572
221,232,2018,335439
201,226,1996,342938
108,205,1998,157885
167,703,1982,335024
209,477,1970,341986
145,150,1971,220988
229,128,1997,298386
162,561,1986,378954
111,395,1964,205621
235,396,1984,395164
101,506,2020,246602
61,712,1981,195611
88,504,1960,178222
179,445,1959,304404
180,721,2022,422312
162,519,2006,329591
150,281,1974,226253
162,100,1951,185974
233,666,2013,466801
130,470,1984,270675
236,760,1956,448871
162,530,1967,232192
51,408,2016,162218
179,236,1991,285594
103,301,1988,177325
136,535,1990,268229
178,412,1973,319882
196,216,2009,340150
175,765,1995,370042
179,674,1968,354441
102,343,2017,194166
221,636,1991,397107
209,701,1981,397165
247,174,1988,385547
209,485,1985,389562
117,309,1985,207561
232,574,1952,404301
233,517,2022,460223
172,446,1957,266370
194,628,2019,419238
87,739,1990,259308
73,278,2017,172185
118,281,1962,193978
165,763,1998,387266
147,124,2009,236328
247,279,1951,373703
188,600,2009,385469
193,260,1954,252862
146,276,1993,238938
173,384,1976,272401
236,162,1981,328896
119,761,1970,272809
142,765,1957,282151
52,255,2021,118840
197,568,1999,345227
236,148,2016,378865
213,183,1993,324124
196,460,2007,351658
139,788,1952,306284
244,247,2019,428151
196,729,1951,333648
197,441,1993,336445
145,575,1951,243117
248,162,1984,344601
101,459,1979,213889
210,660,1957,375123
217,426,1971,351409
177,240,1993,241422
88,314,2007,189508
131,534,1985,238514
153,417,2018,307098
178,131,1980,253747
60,769,1996,242013
234,384,2004,380623
227,404,2011,346909
200,528,1979,363276
208,576,2004,442210
91,385,1965,178278
148,243,1961,210793
56,523,1966,119767
193,118,1965,269242
139,117,1961,148429
161,689,1957,320827
109,470,1952,194609
162,274,1965,259004
51,293,1979,144293
178,601,1972,342048
97,212,1954,106720
189,213,2014,314588
246,321,1979,351818
86,777,1970,215505
209,743,2019,447914
58,363,1971,95118
148,154,2021,251847
196,742,1981,381951
97,557,1982,236320
180,261,1965,262204
197,479,1987,353113
201,186,1963,270142
103,154,1985,148403
169,575,1972,332001
210,277,2015,343057
201,490,1951,312337
165,448,2022,328025
124,107,2014,169482
162,412,2016,300014
249,542,2001,448375
213,427,2011,408387
215,153,1972,305351
153,338,1975,250971
133,328,2017,274117
161,678,2004,353352
148,150,1955,189809
202,708,1984,401535
142,703,1971,304907
195,363,1992,320444
177,517,1964,259123
159,195,2009,258814
131,187,1961,198354
243,177,1998,391424
103,387,1991,217207
212,219,1987,348522
238,590,1994,445773
218,551,1984,400146
210,599,1979,376446
117,264,1979,175978
82,281,1955,121515
191,568,2016,415177
70,106,1956,54411
97,429,2001,198296
197,772,1963,387910
177,250,2022,324524
185,184,1964,224422
184,246,1970,224276
244,723,1984,458589
194,480,2015,352585
177,647,1951,310737
82,384,1984,155844
225,799,1969,432235
236,181,1959,353249
164,613,1974,324134
168,622,2015,372409
71,485,1974,164944
207,570,2003,379723
87,218,1982,151882
158,495,1985,294484
100,631,1963,227609
231,360,2014,386062
57,355,2003,103424
76,325,2001,171357
76,152,1952,78928
70,599,1990,171758
79,605,1955,152106
146,463,1974,283108
77,379,1962,104511
160,692,1957,343253
241,257,1970,339887
246,731,2017,519967
110,158,1974,139027
97,227,2017,194963
196,214,1994,294917
53,308,2009,121844
84,625,1961,187818
241,620,1981,421456
98,651,1962,229016
66,336,1980,110935
221,380,1969,346928
207,458,1967,324213
95,300,2009,135253
166,377,2012,307579
55,334,1955,127552
148,593,1981,312292
173,103,1992,246714
86,765,1951,202742
73,541,2009,202149
142,128,1972,196542
95,208,1980,115483
230,709,1954,438086
144,174,1983,223107
148,245,1959,219363
237,227,1951,335669
165,141,1960,211092
240,455,1999,438457
209,140,1980,308336
210,133,2005,314519
116,116,2022,182727
177,776,1958,355737
67,252,1970,126880
74,477,2022,178617
103,687,1977,214549
107,698,2011,289395
116,728,1956,251617
153,441,1965,261166
223,126,1953,292579
73,386,1953,110235
163,745,1989,387297
81,267,1966,83881
224,709,2001,437230
135,367,2001,249834
200,554,1985,337936
243,784,1987,479782
176,500,1999,371229
204,575,2012,408417
179,733,2012,406714
66,657,2011,191196
153,675,1956,283172
210,229,1976,304296
186,462,1963,303045
92,792,2020,317032
225,391,1954,355853
88,470,2004,182770
219,128,1951,285030
75,248,2011,158064
148,395,1970,268802
99,110,1970,147110
202,611,1959,338898
201,775,2007,422282
62,212,1988,73248
109,286,1954,145019
184,326,2014,339527
106,409,1962,197546
85,197,2002,142380
222,154,1994,326403
69,722,1981,206935
114,763,1985,266897
57,505,2009,212290
193,168,1960,225946
191,411,2012,359394
164,388,1970,309072
192,647,2001,393535
141,247,2004,236099
147,566,1975,276551
115,343,2017,229492
81,590,1983,224956
240,606,2001,412962
135,464,2001,301968
100,581,1978,190720
202,300,1987,319666
235,253,1991,360515
112,549,1970,234571
239,600,1991,412537
174,172,1962,241643
199,395,2013,405986
107,116,1966,97436
107,740,1958,245294
135,316,1990,217460
98,160,1950,112517
229,715,1951,412882
219,141,2009,327870
119,124,1997,185057
64,138,1978,112686
103,230,1959,130681
237,597,2007,471295
150,328,2009,248734
57,207,1970,52771
102,271,1977,168648
109,534,1983,257982
157,577,1957,290012
54,201,2008,97938
152,623,2021,348585
245,374,1998,390291
55,712,1966,177990
158,143,2009,267246
165,116,1994,230658
143,429,2018,283899
96,668,1981,238917
148,596,1993,300465
104,111,2014,165877
217,417,1957,382894
101,691,2021,280759
193,315,1992,312333
62,438,1950,92649
163,760,2000,386383
173,180,1973,239875
155,584,1973,284312
207,473,1966,372526
196,299,1954,311192
194,636,1969,350191
169,565,1970,274169
112,188,2007,207750
68,367,1980,116707
141,754,1960,313112
107,670,2001,231097
232,588,1964,422451
139,637,1956,242676
166,146,1977,244815
111,387,2000,219185
72,115,2007,93921
176,500,1954,284859
186,185,1954,258726
189,349,1957,287417
178,490,2013,364688
107,434,1959,220828
171,728,1987,332815
50,618,1957,162944
83,236,1974,122787
145,787,2022,353924
175,597,2015,345293
167,576,1999,335917
97,693,2016,293533
138,322,1998,241849
166,471,1985,333423
178,501,2017,330176
65,542,1990,170658
238,589,2011,435752
241,714,1959,445572
240,372,1970,397137
118,625,1985,253584
71,258,1961,42015
142,251,1951,193178
244,719,1962,455534
125,287,2002,229985
203,197,1981,324615
193,230,1965,254078
228,270,1981,365604
135,282,1981,238750
234,463,1960,343028
78,138,1959,84993
118,626,1964,231116
96,596,1966,202569
143,615,1989,308453
239,448,1967,380355
246,496,2004,433685
193,260,2022,339183
225,115,1974,287755
134,592,2008,280683
88,525,1971,196587
149,207,1979,195924
82,549,1993,214126
150,410,1981,272251
72,269,2000,102283
59,645,1995,173948
118,513,1970,248482
149,350,1981,229876
83,240,1988,126211
229,373,1961,363341
187,515,1996,370167
196,707,1967,372369
235,138,1970,313149
145,128,1962,208547
50,576,1970,169977
118,417,1957,211977
53,344,1995,120006
65,796,1956,171534
73,371,1972,114091
129,539,1971,257750
51,338,1971,98467
177,476,1978,341731
209,365,1962,336509
133,458,1951,187038
201,439,1978,363338
189,488,2001,337138
227,676,1976,419020
212,788,1999,454604
173,102,1972,266813
82,528,1993,258798
210,241,1971,321334
238,475,1992,415336
228,769,1986,467490
220,423,2010,417353
150,245,2005,247586
61,392,1952,132804
116,764,2012,318401
114,531,1968,230154
210,684,1972,412118
217,498,1978,386531
123,443,1979,243878
92,239,1988,136454
93,286,1974,134533
78,160,1957,58996
190,479,2007,371590
61,539,1965,154878
144,418,2021,304755
95,401,1950,181189
179,443,1954,285988
84,110,1952,88374
130,161,2014,194365
139,325,1953,193758
57,252,2013,137810
142,663,1959,296582
203,670,1970,377620
139,683,1995,313668
211,759,1976,388942
164,674,2015,363659
154,409,1990,295607
184,342,1962,292904
245,592,1958,428913
107,465,1985,214495
163,429,2007,312441
124,206,2003,191993
206,325,1961,323976
169,317,1963,263319
213,605,1983,408340
70,358,2002,143079
213,616,1969,343633
187,153,1965,273043
150,146,2019,238623
201,788,2005,421844
241,620,2007,481369
226,198,1953,298759
148,119,1953,194998
85,672,1969,218240
145,589,1959,282971
201,518,1973,325780
200,789,1975,432038
239,161,1986,356925
86,244,2003,148414
61,315,1970,102367
162,102,2023,225875
232,259,1987,369973
62,219,1995,86212
72,188,1953,46546
148,428,2009,261152
154,679,2006,370053
79,456,1994,166114
66,709,1969,215474
162,366,1966,246483
111,716,2020,270552
133,422,1953,189569
161,734,1963,351016
135,640,1952,254382
190,748,2007,405634
236,294,2004,395000
68,431,1953,126235
226,269,1973,363147
149,620,1983,334469
189,562,1979,342704
238,139,1968,301279
196,636,1980,367930
125,360,2009,248705
58,494,2009,150524
248,325,1968,360856
77,223,1998,139975
177,137,2012,278926
101,427,1971,183555
132,350,1973,200830
160,275,1979,244391
193,701,2007,393215
166,553,1980,332403
118,136,2013,212904
148,415,1968,211076
189,787,1997,394309
74,692,1994,188469
229,213,2004,352099
172,139,2004,263131
102,400,1967,146007
200,323,2012,333162
193,417,1996,323820
106,448,2006,233745
88,214,1994,145186
158,797,1982,338965
230,422,1966,373936
91,667,2019,252966
235,139,1953,302866
216,139,1969,329269
191,388,1996,361909
171,361,1964,241708
182,315,2019,346594
212,246,1996,354427
124,435,1958,183034
195,267,1965,302275
125,191,2018,249458
58,452,2010,139949
123,670,1959,234149
235,670,1999,480853
194,780,1952,379429
56,462,2019,181429
223,656,2000,447511
190,444,1968,324613
217,792,1991,423370
219,269,1984,362246
186,455,1995,363391
227,290,1975,343912
76,766,2018,259330
171,521,2013,318077
243,799,1986,495585
54,106,1998,86641
78,232,1970,107156
214,656,2023,472687
215,130,2013,329818
132,634,1954,265092
185,525,2019,356106
158,493,1953,263128
114,771,1988,284712
135,462,1984,258406
194,536,1950,315809
120,769,1973,279170
94,650,2006,268520
181,181,2019,292964
85,455,1990,151368
119,357,2003,262891
208,688,1995,447229
68,623,2009,184754
238,394,2009,433594
157,323,2006,271040
231,624,1980,431569
216,145,1973,306884
140,766,1985,318511
139,212,1979,189224
68,332,1973,102589
88,116,1979,90876
175,459,1956,268663
244,322,1984,388056
222,799,2004,457484
190,547,1963,346041
175,464,1959,319044
107,774,1965,243698
197,425,2003,363288
249,566,2019,490693
110,513,1993,245040
176,554,2022,373319
154,685,1994,351853
216,332,2005,380044
50,323,2006,95846
180,511,1970,334583
141,671,2017,355445
239,434,1999,404034
240,321,1982,381958
162,136,1956,214866
202,377,2019,368213
105,295,1964,176959
210,583,1981,434877
215,341,1969,318980
166,423,1964,244979
183,291,1997,310776
107,116,2020,193131
93,623,1970,204482
222,500,1991,428065
209,121,1975,260927
222,573,1963,399458
110,219,2006,177682
96,309,1986,201187
198,405,2007,399850
129,369,1970,196966
167,786,2018,389708
213,384,1952,340491
196,775,1986,402257
69,326,1998,140791
234,480,1968,390507
195,559,1961,301906
96,106,2010,149923
98,128,1990,123805
63,132,1982,68037
192,745,1999,439872
208,178,2017,314469
50,558,2020,197864
166,669,1982,334220
103,637,1973,224304
167,581,2010,367507
52,529,2010,175601
193,384,1977,329712
234,615,2007,475363
61,198,1992,91473
123,496,1990,236455
65,588,1988,156396
249,138,1998,357591
151,370,1966,300481
201,256,2019,371593
205,174,2019,309278
166,229,2014,257350
57,786,2023,250337
171,183,1954,233045
141,121,1951,172677
213,558,1971,372000
139,638,2006,314590
185,481,2015,370257
235,539,2023,460017
109,703,1965,199713
227,120,2000,334904
77,402,1988,141871
150,183,1989,229104
90,758,1987,308305
241,552,2009,463249
204,486,2008,379929
240,606,1959,433636
194,356,2013,359853
210,669,2012,444201
206,626,1998,419337
190,261,2013,366330
95,262,1981,128282
84,623,1956,191072
183,370,1970,274972
131,591,1969,269810
164,307,1975,239026
246,638,2017,480252
96,683,1964,213698
202,159,1963,292316
243,529,1976,439669
59,756,1989,178785
105,704,2007,281398
79,408,1977,137908
158,619,1975,285629
54,690,2012,201659
168,126,2015,261030
82,785,1974,277534
167,661,1952,318359
114,298,2021,199047
195,486,1993,346404
226,448,1991,415027
60,792,1955,220168
134,635,1988,259280
75,477,2001,146301
112,657,1972,283819
135,626,1999,309492
108,252,1992,162034
76,305,1968,128692
226,554,2018,390085
210,372,2000,364467
147,335,1960,229056
154,620,1961,309485
148,777,2023,355122
178,600,1957,320713
198,216,1973,269691
104,485,1990,223107
55,443,1985,113193
246,683,2021,493437
144,494,2004,273883
182,163,1958,251622
151,171,1996,248869
52,373,1964,86907
230,419,1997,401564
72,437,1991,132428
102,465,2009,224006
214,594,2019,432795
132,706,1961,327615
194,265,1951,247760
134,643,1956,289883
127,110,1952,159437
159,400,1952,251112
50,201,1976,101372
100,524,1989,226242
222,491,1982,395983
53,313,1950,66037
239,790,1957,472971
242,187,1981,378329
162,652,1997,332886
81,500,1953,123115
83,687,2019,251840
141,145,1968,167499
144,771,1981,324929
121,562,1958,251648
88,691,1961,197053
203,409,1960,320443
211,185,1995,324660
231,191,1965,341668
167,759,1950,282362
52,772,2012,207265
172,341,1970,275425
99,101,1979,146701
61,324,1962,83461
242,688,1983,421068
103,215,1953,137894
182,765,1977,365292
106,202,2008,158606
194,293,1976,288113
161,265,2018,283809
96,189,1974,118705
200,785,1952,339888
134,221,2017,255141
191,242,1974,309397
115,205,1969,170530
124,527,1983,226646
228,404,1975,368770
152,416,1954,240069
215,734,2010,466275
241,108,1958,329466
87,172,1999,124216
99,458,1955,171739
147,322,2009,278045
131,515,1993,296616
79,652,1960,197990
128,469,2015,291581
140,363,1996,255276
228,789,2022,525009
240,417,1952,378595
101,183,1979,124878
215,417,1970,378967
128,210,1977,199958
79,350,2011,165639
155,482,1982,276310
100,106,1984,136131
130,558,2001,291863
182,183,1983,271545
78,307,1990,149626
181,489,2000,378299
187,413,1996,355530
233,121,2007,359512
194,509,2006,392626
123,614,1972,233649
66,226,1997,124158
133,799,1971,341486
118,113,1966,136239
83,111,2018,122747
55,186,1960,41658
102,623,1964,194807
243,636,1984,435004
175,400,1982,292089
92,342,1965,118288
164,221,1983,248512
160,246,2015,297245
200,666,1989,379044
232,455,1977,421385
129,784,1996,331515
144,730,1988,345611
167,408,2019,312943
193,794,2022,462390
57,387,1969,85061
181,406,1950,295504
153,693,2021,367536
181,761,2012,421765
233,648,2016,446588
74,451,1953,111298
244,411,2007,442144
145,158,1974,179133
244,742,1996,494664
204,134,1987,267457
142,544,1964,277763
209,192,2012,314249
227,306,1970,357745
110,452,2006,248912
171,431,2002,305764
100,258,1995,183240
196,123,1963,261808
70,503,1966,135823
54,615,1988,146828
141,463,1958,197847
219,481,1955,361693
110,631,1972,206903
71,251,2008,141606
198,661,1995,393931
119,788,1987,311682
50,707,1963,148359
182,716,2021,405611
61,519,2011,195937
139,349,1984,244001
95,216,1968,135023
83,611,1979,210085
226,677,1974,392688
127,434,1989,256435
94,517,1963,194649
204,394,1975,314466
122,470,1971,218118
75,285,1997,140713
96,345,2000,185310
170,736,1952,335877
105,367,1991,225527
143,742,1968,327535
156,336,2022,271955
112,629,1977,258241
97,651,1994,271278
110,120,2020,191736
130,619,2012,327619
75,199,2022,189545
85,577,1968,206374
50,698,1996,190586
57,397,1963,123801
162,625,1987,332897
148,433,2002,286078
229,101,2010,341671
96,474,1985,230068
176,392,1989,290031
105,652,1979,272547
63,417,1958,120897
77,601,2013,195713
127,480,1982,250852
179,722,2001,346899
158,113,1963,210110
203,603,2002,419804
63,330,2008,131652
236,183,1990,358070
105,229,2017,234383
164,244,2017,276685
56,127,1957,20221
52,165,1951,66633
160,262,1990,296651
200,328,2004,344673
156,360,1965,266229
67,548,2011,222929
87,523,1997,192250
164,559,1979,302093
64,775,1961,211617
241,400,1984,434200
168,402,1960,278657
77,386,2013,163103
88,494,1999,244541
234,109,1970,307180
66,729,2018,231097
135,369,1997,255146
175,691,1969,375783
93,704,2016,288379
74,460,1993,179297
194,356,1982,328465
62,232,2022,137270
74,375,2010,182162
117,782,1958,214308
187,612,2017,388967
116,412,1984,220226
158,675,2014,337979
195,383,1957,308826
160,220,1994,248910
160,206,1996,287309
83,786,1989,277160
160,303,2003,269283
57,264,1995,105283
